scenario,arrival_target_tps,observed_arrival_tps,domestic_p50_ms,domestic_p95_ms,domestic_p99_ms,cross_border_p99_ms,region_loss,hsm_slowdown,domestic_slo_pass,cross_border_slo_pass
TIPS-reference steady,2000,1995.15,36.942586944488916,59.775921546003886,73.2449755754315,298.01557508318086,False,1.0,True,True
FuSSE-reference steady,10000,9981.6,36.95609332849298,59.95642349952751,73.51001805893524,298.5822703084517,False,1.0,True,True
FuSSE-reference burst,10000,9019.3,36.92282381637476,59.91424137612651,73.19403549373438,300.47787364230396,False,1.0,True,True
10k with one region unavailable,10000,9721.45,63.75583770188936,104.75327246145584,128.60101807722629,480.890001477112,True,1.0,True,True
10k with HSM service doubled,10000,9922.7,37.23077647956491,60.20279604688046,73.72312115854521,300.6920801090211,False,2.0,True,True
20k qualification stress,20000,18616.333333333332,37.48771822088869,60.481249973541054,73.9705508812457,301.7218512968453,False,1.0,True,True
40k overload control with region loss,40000,36607.875,4248.858340615166,8071.231940455444,8432.220293145741,479.7509915664931,True,1.0,False,True
