threshold,precision,recall,fpr
0.05,0.54,0.9969230769230769,0.19714285714285715
0.05789915966386555,0.5625,0.9969230769230769,0.18
0.06579831932773109,0.5869565217391305,0.9969230769230769,0.16285714285714287
0.07369747899159663,0.5988909426987061,0.9969230769230769,0.155
0.08159663865546218,0.601113172541744,0.9969230769230769,0.15357142857142858
0.08949579831932773,0.6071428571428571,0.9938461538461538,0.1492857142857143
0.09739495798319328,0.6094339622641509,0.9938461538461538,0.14785714285714285
0.10529411764705882,0.6152380952380953,0.9938461538461538,0.1442857142857143
0.11319327731092436,0.6187739463601533,0.9938461538461538,0.14214285714285715
0.12109243697478991,0.6211538461538462,0.9938461538461538,0.1407142857142857
0.12899159663865545,0.6211538461538462,0.9938461538461538,0.1407142857142857
0.136890756302521,0.625968992248062,0.9938461538461538,0.13785714285714284
0.14478991596638655,0.625968992248062,0.9938461538461538,0.13785714285714284
0.15268907563025208,0.625968992248062,0.9938461538461538,0.13785714285714284
0.16058823529411764,0.6284046692607004,0.9938461538461538,0.13642857142857143
0.16848739495798318,0.6296296296296297,0.9938461538461538,0.1357142857142857
0.1763865546218487,0.6296296296296297,0.9938461538461538,0.1357142857142857
0.18428571428571427,0.6301369863013698,0.9907692307692307,0.135
0.19218487394957984,0.6313725490196078,0.9907692307692307,0.13428571428571429
0.20008403361344534,0.6313725490196078,0.9907692307692307,0.13428571428571429
0.2079831932773109,0.6326129666011788,0.9907692307692307,0.13357142857142856
0.21588235294117647,0.6351084812623274,0.9907692307692307,0.13214285714285715
0.22378151260504198,0.6376237623762376,0.9907692307692307,0.13071428571428573
0.23168067226890754,0.6376237623762376,0.9907692307692307,0.13071428571428573
0.2395798319327731,0.6388888888888888,0.9907692307692307,0.13
0.2474789915966386,0.6427145708582834,0.9907692307692307,0.12785714285714286
0.25537815126050417,0.6427145708582834,0.9907692307692307,0.12785714285714286
0.26327731092436973,0.644,0.9907692307692307,0.12714285714285714
0.27117647058823524,0.6452905811623246,0.9907692307692307,0.12642857142857142
0.2790756302521008,0.6465863453815262,0.9907692307692307,0.12571428571428572
0.28697478991596637,0.6465863453815262,0.9907692307692307,0.12571428571428572
0.29487394957983193,0.647887323943662,0.9907692307692307,0.125
0.30277310924369744,0.6505050505050505,0.9907692307692307,0.12357142857142857
0.310672268907563,0.6518218623481782,0.9907692307692307,0.12285714285714286
0.3185714285714285,0.6531440162271805,0.9907692307692307,0.12214285714285714
0.32647058823529407,0.6537678207739308,0.9876923076923076,0.12142857142857143
0.33436974789915963,0.656441717791411,0.9876923076923076,0.12
0.34226890756302514,0.6604938271604939,0.9876923076923076,0.11785714285714285
0.3501680672268907,0.6625258799171843,0.9846153846153847,0.11642857142857142
0.35806722689075626,0.6652806652806653,0.9846153846153847,0.115
0.3659663865546218,0.6666666666666666,0.9846153846153847,0.11428571428571428
0.37386554621848733,0.6680584551148225,0.9846153846153847,0.11357142857142857
0.3817647058823529,0.6680584551148225,0.9846153846153847,0.11357142857142857
0.38966386554621846,0.6694560669456067,0.9846153846153847,0.11285714285714285
0.39756302521008396,0.6708595387840671,0.9846153846153847,0.11214285714285714
0.4054621848739495,0.6729957805907173,0.9815384615384616,0.11071428571428571
0.4133613445378151,0.6758474576271186,0.9815384615384616,0.10928571428571429
0.4212605042016806,0.6816239316239316,0.9815384615384616,0.10642857142857143
0.42915966386554616,0.6875,0.9815384615384616,0.10357142857142858
0.4370588235294117,0.6914660831509847,0.9723076923076923,0.10071428571428571
0.44495798319327723,0.6991150442477876,0.9723076923076923,0.09714285714285714
0.4528571428571428,0.7022222222222222,0.9723076923076923,0.09571428571428571
0.46075630252100835,0.7062780269058296,0.9692307692307692,0.09357142857142857
0.46865546218487386,0.7142857142857143,0.9692307692307692,0.09
0.4765546218487394,0.7175398633257403,0.9692307692307692,0.08857142857142856
0.484453781512605,0.7208237986270023,0.9692307692307692,0.08714285714285715
0.4923529411764705,0.7268518518518519,0.9661538461538461,0.08428571428571428
0.5002521008403361,0.7336448598130841,0.9661538461538461,0.08142857142857143
0.5081512605042017,0.7405660377358491,0.9661538461538461,0.07857142857142857
0.5160504201680672,0.7452380952380953,0.963076923076923,0.07642857142857143
0.5239495798319327,0.7542168674698795,0.963076923076923,0.07285714285714286
0.5318487394957983,0.7615571776155717,0.963076923076923,0.07
