epsilon_total,regime,mae,clipping_bias,median_relative_error
1,sparse,27.11259232466873,6.500588084691036,0.8235658866660232
1,dense,40.27562642283632,0.0,0.024789621200875078
1,sparse,29.362839043882428,6.830991813306795,1.0
1,dense,36.845004801283416,0.0,0.01887112424218238
1,sparse,22.361603243230064,14.366198601310993,1.0
1,dense,43.47078861846143,0.0,0.023468190404723678
1,sparse,17.58929974358344,3.906232353373174,0.7237988985857144
1,dense,39.07519650017617,0.0,0.022001677550254346
1,sparse,34.05358760612705,5.111358475231392,0.822052851113406
1,dense,36.46225525434871,0.0,0.024378646476952516
1,sparse,16.750540828556737,5.819427170897543,0.5871048388526203
1,dense,28.551838287876986,0.0,0.02200330620268763
1,sparse,23.699047260777604,3.8005533591501854,1.0
1,dense,36.25319196663636,0.0,0.027360591539805766
1,sparse,27.386318122664694,4.562680273149119,0.8226524186125889
1,dense,34.66615152243015,0.0,0.021498155207901784
1,sparse,32.74595246296035,5.776714004153759,1.0
1,dense,19.84749176123822,0.0,0.012883972687790943
1,sparse,34.78140560396044,10.304626648960884,1.0
1,dense,33.05332058886183,0.0,0.02446424589307921
1,sparse,22.50972439679744,11.719081531286863,0.9225301111218763
1,dense,41.05902024831513,0.0,0.02769219327068947
1,sparse,27.005802723971467,13.350574814831475,1.0
1,dense,27.5774030408303,0.0,0.0140302724121606
1,sparse,29.890582434811876,8.721124545046411,0.8251749500884499
1,dense,25.241212679270458,0.0,0.015123796170934956
1,sparse,28.273790486220804,7.823643253011542,0.9640386057067698
1,dense,37.0707109680037,0.0,0.031125423761935944
1,sparse,22.945863793322513,2.7702481823099774,0.6713811367507144
1,dense,34.08636998720723,0.0,0.02183654523127667
1,sparse,23.972858934344952,8.932983152796998,1.0
1,dense,26.621659273601495,0.0,0.01585922595278118
1,sparse,22.497956968211156,3.2663222752575827,0.6799647198237637
1,dense,28.70975307145036,0.0,0.01674710459385501
1,sparse,21.331578080687787,3.543940292828417,0.8493290960333093
1,dense,33.19615778357456,0.0,0.02169848014050848
1,sparse,22.81243543753963,11.475142446652498,1.0
1,dense,36.75649814022349,0.0,0.01979405449571815
1,sparse,30.549378977555733,10.924808798571307,1.0
1,dense,48.697895938766955,0.0,0.029768802460568528
