kind,n,candidate_recall,screen_recall,median_score
exact,60,1.0,0.95,0.9996043248667937
ocr,60,0.9666666666666667,0.8666666666666667,0.9989490844242084
official_alias,25,1.0,0.96,0.9996292275538738
sparse_attributes,60,1.0,0.6166666666666667,0.8800615164969184
token_order,60,1.0,0.9666666666666667,0.9993777193734515
transliteration,60,0.9833333333333333,0.9333333333333333,0.9995585542417431
